Nombre,Rock,Urbano,Latino,R&B,Pop,Instrumental,Electrónica,Duración,Animadas,Alegres,Letra,Conocidas
Rolling Rolling - LUCY,6,1,1,2,5,4,1,2,6,5,6,2
Roundtable Rival - Lindsey Stirling,1,1,1,2,6,5,4,3,6,6,1,1
Saturn - Sleeping At Last,1,1,1,6,3,5,1,2,2,2,2,2
Shut up - Black Eyes Peas,4,4,3,2,6,3,5,3,5,5,6,6
Sin Poderte Hablar - Willie Colón,1,1,6,4,1,4,1,4,6,4,6,6
Sin sentimiento - Grupo Niche,1,6,6,4,3,3,2,2,5,6,6,4
Sin Sentimientos - grupo Niche,1,3,6,2,2,3,1,3,4,3,4,5
Solitario - Mitú,3,2,3,3,4,2,5,3,6,6,3,5
Sonido Bestial - RICARDO RAY & BOBBY CRUZ,1,2,6,2,3,5,2,5,6,5,3,5
Stronger Than My Storm - Citizen Soldier,6,3,1,1,1,4,3,3,6,4,6,1
Swim - Chase atlantic,3,5,1,1,3,1,3,3,3,2,6,5
Te puedes marchar - Luis Miguel,1,2,2,2,5,1,3,2,6,6,5,5
Telefono - Delfina Dib,1,6,1,2,4,3,3,2,3,2,4,3
Telepatía - Kali Uchis,2,2,1,2,3,1,2,2,3,4,4,4
The less I know the better - Tame Impala,6,1,1,1,5,1,2,3,3,4,4,4
Tonight - Jin,1,1,1,3,6,1,1,2,2,1,6,5
Torero - Chayanne ,5,5,6,4,5,6,3,5,5,5,5,5
Tu falta de querer - Mon Laferte,3,1,1,3,5,1,1,3,6,5,5,4
Tus lágrimas - Mora y Sech,1,6,6,4,4,3,2,2,6,6,6,4
Weightless - Natassha Bendingfield,6,5,4,3,5,6,3,5,5,5,4,5
Without Me - Eminem,1,6,1,1,1,1,3,4,5,4,6,6
Wolf and I - Oh Land,1,1,1,1,5,5,2,5,4,4,6,3
yo voy ganao - systema solar,1,4,5,2,2,1,5,4,4,6,6,4
